LID,RGI_ID,L_NUM,LON,LAT,AREA,LENGTH,MATCH
1.0,RGI60-12.01025,293.0,44.52,42.7,2.0,4.3,1.0
3.0,RGI60-07.01079,144.0,14.08,77.97,7.62,4.3,1.0
4.0,RGI60-11.02704,201.0,7.93,46.05,9.94,6.7,1.0
5.0,RGI60-11.00376,202.0,11.13,47.05,3.94,4.9,1.0
6.0,RGI60-02.06474,21.0,-126.22,52.08,8.14,7.1,2.0
7.0,RGI60-11.03638,203.0,6.93,45.97,15.6,9.4,1.0
8.0,RGI60-11.02787,204.0,7.5,45.98,6.02,5.1,2.0
9.0,RGI60-16.02485,374.0,-77.6,-8.92,7.3,3.4,2.0
10.0,RGI60-02.12441,23.0,-117.25,52.2,14.95,7.0,1.0
11.0,RGI60-16.02296,375.0,-77.2,-9.25,3.0,2.4,2.0
12.0,RGI60-10.00769,192.0,87.48,50.12,10.0,5.2,2.0
13.0,RGI60-11.00325,205.0,11.08,47.08,2.55,3.1,1.0
14.0,RGI60-15.07663,342.0,100.15,27.4,1.5,3.0,2.0
15.0,RGI60-11.00343,207.0,11.12,47.07,1.47,2.6,1.0
16.0,RGI60-12.01252,295.0,43.07,43.05,37.27,18.0,1.0
18.0,RGI60-02.18763,24.0,-123.67,47.83,4.3,4.2,2.0
19.0,RGI60-11.01621,209.0,7.77,46.5,2.98,3.2,1.0
20.0,RGI60-12.00080,298.0,42.43,43.28,18.76,9.2,1.0
21.0,RGI60-10.05151,193.0,87.58,50.12,16.0,9.0,2.0
22.0,RGI60-08.02916,160.0,6.33,60.03,23.26,7.8,2.0
23.0,RGI60-11.03648,210.0,6.78,45.87,10.53,7.2,1.0
26.0,RGI60-08.01097,162.0,6.92,61.65,11.94,5.7,1.0
27.0,RGI60-11.01120,211.0,8.78,46.73,2.99,3.2,1.0
28.0,RGI60-17.15857,398.0,-73.2,-47.1,41.5,10.0,2.0
29.0,RGI60-16.01662,376.0,137.17,-4.1,0.89,1.8,2.0
30.0,RGI60-16.01636,377.0,37.3,-0.13,0.02,0.4,2.0
31.0,RGI60-14.04638,346.0,75.0,36.0,320.0,46.0,1.0
32.0,RGI60-02.02608,26.0,-123.9,50.87,26.5,11.1,2.0
35.0,RGI60-11.00518,213.0,11.1,47.0,2.69,3.2,2.0
36.0,RGI60-11.00886,214.0,10.95,46.82,3.5,3.6,2.0
37.0,RGI60-12.00335,302.0,42.77,43.2,3.11,4.4,2.0
38.0,RGI60-11.00164,215.0,12.33,47.1,6.24,4.2,2.0
39.0,RGI60-02.04893,29.0,-116.1,51.6,1.3,1.2,2.0
40.0,RGI60-11.00577,216.0,11.23,46.98,1.41,3.4,2.0
43.0,RGI60-08.01657,164.0,13.85,66.65,32.0,12.0,1.0
44.0,RGI60-17.15831,406.0,-73.17,-46.5,121.1,20.4,1.0
45.0,RGI60-11.02596,217.0,7.88,46.08,16.66,5.7,2.0
46.0,RGI60-11.00548,218.0,11.13,46.98,2.02,2.7,1.0
47.0,RGI60-11.02715,219.0,7.58,46.02,9.79,6.5,1.0
48.0,RGI60-17.15836,407.0,-73.2,-46.7,80.0,18.0,1.0
50.0,RGI60-02.00251,31.0,-122.6,49.83,0.44,1.3,2.0
51.0,RGI60-11.01974,221.0,10.57,46.4,20.0,5.4,2.0
52.0,RGI60-11.02245,222.0,9.7,46.3,8.77,5.7,1.0
53.0,RGI60-18.02375,448.0,170.15,-43.53,34.69,13.2,1.0
54.0,RGI60-18.02397,449.0,170.22,-43.5,32.6,10.25,1.0
55.0,RGI60-17.12375,408.0,-71.83,-41.15,6.54,6.59,1.0
56.0,RGI60-02.06472,32.0,-126.23,52.1,20.0,9.2,1.0
57.0,RGI60-11.00836,223.0,11.07,46.83,1.35,3.5,2.0
58.0,RGI60-15.06881,352.0,79.2,30.8,258.0,31.2,2.0
60.0,RGI60-10.01715,194.0,87.58,50.13,10.0,5.2,2.0
61.0,RGI60-11.03671,224.0,6.63,45.28,2.76,4.0,1.0
62.0,RGI60-11.00746,225.0,10.77,46.85,17.82,9.0,1.0
63.0,RGI60-12.00709,306.0,44.57,42.65,8.3,8.5,1.0
64.0,RGI60-11.02822,226.0,7.8,45.97,68.86,14.7,1.0
65.0,RGI60-11.00003,228.0,13.6,47.48,1.48,2.6,1.0
66.0,RGI60-11.01450,227.0,8.03,46.5,87.76,25.4,1.0
67.0,RGI60-16.01637,383.0,37.32,-0.15,0.05,0.6,2.0
68.0,RGI60-11.01876,229.0,8.33,46.43,6.25,6.8,1.0
70.0,RGI60-17.15825,411.0,-73.3,-46.45,80.0,18.0,1.0
71.0,RGI60-11.00291,230.0,13.32,47.03,2.76,2.7,1.0
72.0,RGI60-11.00546,231.0,11.2,46.98,1.87,2.5,1.0
73.0,RGI60-11.00887,232.0,10.98,46.8,11.87,8.8,1.0
74.0,RGI60-15.07886,355.0,101.92,29.57,24.83,13.19,1.0
75.0,RGI60-11.00002,233.0,13.62,47.48,3.3,2.4,1.0
76.0,RGI60-07.00240,150.0,15.67,77.08,57.0,17.0,1.0
77.0,RGI60-02.01461,34.0,-123.88,50.52,9.46,7.0,1.0
78.0,RGI60-02.00377,35.0,-123.0,49.97,0.92,2.5,1.0
79.0,RGI60-11.00897,234.0,10.77,46.8,8.72,8.0,1.0
80.0,RGI60-11.00957,235.0,10.82,46.78,7.13,4.5,2.0
81.0,RGI60-11.00459,236.0,11.82,47.0,3.87,3.4,1.0
82.0,RGI60-11.00872,237.0,8.85,46.82,13.73,7.3,1.0
83.0,RGI60-17.00024,419.0,-70.13,-34.55,15.0,7.0,2.0
84.0,RGI60-02.03688,38.0,-117.47,51.23,6.37,3.0,2.0
85.0,RGI60-08.00202,167.0,18.57,67.92,1.4,2.2,2.0
86.0,RGI60-11.00781,238.0,10.17,46.87,3.8,3.6,2.0
88.0,RGI60-11.00067,239.0,12.7,47.13,4.04,3.8,1.0
89.0,RGI60-11.01193,240.0,8.42,46.68,3.15,3.4,1.0
90.0,RGI60-11.00787,241.0,10.8,46.83,4.29,4.25,1.0
91.0,RGI60-11.00181,242.0,13.25,47.07,3.04,2.7,1.0
92.0,RGI60-10.01729,195.0,87.68,50.13,4.85,4.0,2.0
